prices,address,no_beds,baths,sqft
380000, 610 Bernstein St #14 Austin TX 78745 ,3,2,1291
295000, 2023 Covered Wagon Pass Austin TX 78744 ,3,2,1065
500000, 10807 Pinkney Ln Austin TX 78739 ,3,2,2339
3950000, 4511 Balcones Dr Austin TX 78731 ,3,3,2133
285000, 303 W Garrett Run Austin TX 78753 ,3,2,1512
725000, 1207 Luna St #1 Austin TX 78721 ,3,2,1291
1175000, 715 Harris Ave Austin TX 78705 ,3,2,1518
385000, 1105 Dexford Dr Austin TX 78753 ,3,2,1654
349000, 6516 Berkman Dr Austin TX 78723 ,3,2,1663
110000, 5803 J F K Dr Austin TX 78724 ,3,2,1744
185000, 6111 Softwood Dr Austin TX 78744 ,3,2,1496
575000, 3009 E 18th St Austin TX 78702 ,3,2,1186
475000, 12732 Machete Trl Austin TX 78729 ,3,2,1304
260000, 9820 Flintrock Cir Austin TX 78737 ,3,3,1945
425000, 7825 Beauregard Cir APT 18A Austin TX 78745 ,3,2,1314
585000, 5409 Woodrow Ave APT A Austin TX 78756 ,3,2,2640
415000, 1212 Guadalupe St APT 705 Austin TX 78701 ,3,2,1291
318990, The Harper (S101) Plan Easton Park ,3,2,1065
800000, 10509 Loring Dr Austin TX 78750 ,3,2,2339
1395000, 2104 La Casa Dr #B Austin TX 78704 ,3,3,2133
3890000, 1005 N Weston Ln Austin TX 78733 ,3,2,1512
975000, 1516 Northwood Rd Austin TX 78703 ,3,2,1291
899998, 9903 Kabar Trl Austin TX 78759 ,3,2,1518
799000, 3408 Oxen Ct Austin TX 78732 ,3,2,1654
1200000, 1004 Lund St Austin TX 78704 ,3,2,1663
1250000, 2104 Winsted Ln Austin TX 78703 ,3,2,1744
1795000, 4512 Rosedale Ave Austin TX 78756 ,3,2,1496
1650000, 1 Liberty St Austin TX 78705 ,3,2,1186
434000, 3101 Govalle Ave #105 Austin TX 78702 ,3,2,1304
350000, 2729 Dulce Ln UNIT 521 Austin TX 78704 ,3,3,1945
540000, 311 W 5th St UNIT 707 Austin TX 78701 ,3,2,1314
399990, The Roosevelt Plan Pioneer Hill ,4,3,2320
600000, 130 Empire Ct Austin TX 78737 ,4,4,3633
399000, 5845 Kleberg Trl Austin TX 78747 ,4,3,2432
950000, 3216 Wild Canyon Loop Austin TX 78732 ,4,4,4361
625000, 15805 W Dorman Dr Austin TX 78717 ,4,3,2921
525000, 9202 Norchester Ct Austin TX 78729 ,4,3,1908
435000, 228 Saddleback Rd Austin TX 78737 ,4,3,2843
419900, 800 Sand Hill Branch Dr #38 Austin TX 78748 ,4,3,2634
617990, Plan 215 Plan Highpointe: 80ft. lots ,4,3,2939
450000, 2600 Highland Haven Dr Austin TX 78725 ,4,2,1779
1150000, 3205 Locke Ln Austin TX 78704 ,4,3,2021
299000, 5928 Abby Ann Ln Austin TX 78747 ,4,3,2242
500000, 902 Philco Dr #B Austin TX 78745 ,4,3,2320
420000, 810 Sahara Ave Austin TX 78745 ,4,4,3633
790000, 10212 Shively Ln Austin TX 78747 ,4,3,2432
659900, 9000 Zyle Rd Austin TX 78737 ,4,4,4361
575000, 9601 Pasatiempo Dr Austin TX 78717 ,4,3,2921
385000, 1108 Jolena Cir Austin TX 78721 ,4,3,1908
300000, 3204 Braun Way Austin TX 78725 ,4,3,2843
349900, 1608 Denesa Dr Austin TX 78725 ,4,3,2634
514000, 2601 N Quinlan Park Rd SUITE 203 Austin TX 78732 ,4,3,2939
299900, 11229 Liberty Farms Dr Austin TX 78754 ,4,2,1779
315000, 9308 Beechnut Dr #35 Austin TX 78748 ,4,3,2021
284900, 9009 Sun Shower Bnd Austin TX 78724 ,4,3,2242
549900, 13475 Mesa Verde Dr Austin TX 78737 ,4,3,2773
789000, 1207 Miami Dr Austin TX 78733 ,4,3,1902
1425000, 2502 Ellise Ave Austin TX 78757 ,4,3,2896
345000, 9020 Bird Brook Ln Austin TX 78747 ,4,3,2305
802500, 12017 Portobella Dr Austin TX 78732 ,4,4,3571
438000, 10713 Desert Willow Loop Austin TX 78748 ,4,4,2599
1895000, 617 Blanco St Austin TX 78703 ,4,4,2291
299900, 1202 Haverford Dr Austin TX 78753 ,4,3,1821
384990, The Independence Plan Parker Station ,4,2,2025
696990, Plan 273 Plan Highpointe: 90ft. lots ,4,3,3243
1895000, 701 Highland Ave Austin TX 78703 ,4,4,3056
775000, 4805 Harmon Ave Austin TX 78751 ,4,3,1911
600000, 639 Catalina Ln Austin TX 78737 ,4,4,2943
485000, 194 Lavaca Heights Dr Austin TX 78737 ,4,3,2773
220000, 6700 Cooper Ln APT 41 Austin TX 78745 ,4,3,1902
425000, 6405 Middleham Pl Austin TX 78745 ,4,3,2896
425000, 13006 Wingate Way Austin TX 78727 ,4,3,2305
401990, The Grand Canyon Plan Pioneer Hill ,4,4,3571
350000, 708 Little Oak Dr Austin TX 78753 ,4,4,2599
329900, 1513 Kandinsky Bnd Pflugerville TX 78660 ,4,4,2291
350000, 4701 Alta Loma Dr Austin TX 78749 ,4,3,1821
3195000, 3303 Hickory Creek Cv Austin TX 78735 ,4,2,2025
825000, 6805 Jester Wild Dr Austin TX 78750 ,4,3,3243
289000, 5513 Bradford Pear Ln Austin TX 78744 ,4,4,3056
725000, 4704 Menchaca Rd Austin TX 78745 ,4,3,1911
273990, The Bellvue Plan Forest Bluff ,4,4,2943
495000, 1601 E Cesar Chavez St APT 312 Austin TX 78702 ,4,3,2773
540000, 8210 Shenandoah Dr Austin TX 78753 ,4,3,1902
3980000, 12915 Shore Vista Dr Austin TX 78732 ,4,3,2896
315000, 11126 Seay St Austin TX 78754 ,4,3,2305
410000, 900 Banister Ln #G Austin TX 78704 ,4,4,3571
1995000, 701 Norwalk Ln Austin TX 78703 ,4,4,2599
625000, 16301 Double Eagle Dr Austin TX 78717 ,4,4,2291
288990, The Irvine Plan Forest Bluff ,4,3,1821
250000, 1514 Parker Ln APT 208 Austin TX 78741 ,4,2,2025
295000, 1202 Faircrest Dr Austin TX 78753 ,4,3,3243
399900, 11200 American Mustang Loop Manor TX 78724 ,4,4,3056
1724990, 3728 Josh Ln Austin TX 78730 ,4,3,1911
289900, 702 Wales Way Austin TX 78748 ,4,4,2943
325000, 11813 Terraza Cir Austin TX 78726 ,4,3,2773
560000, 6108 Dedham Ln Austin TX 78739 ,4,3,1902
